,Precinct,State Code,Count,State Name
0,1.0,AK,1,Alaska
1,1.0,AL,10,Alabama
2,1.0,AR,6,Arkansas
3,1.0,AZ,83,Arizona
4,1.0,CA,47,California
5,1.0,CO,13,Colorado
6,1.0,CT,405,Connecticut
7,1.0,DC,12,District of Columbia
8,1.0,DE,36,Delaware
9,1.0,FL,218,Florida
10,1.0,GA,46,Georgia
11,1.0,HI,3,Hawaii
12,1.0,IA,20,Iowa
13,1.0,ID,25,Idaho
14,1.0,IL,121,Illinois
15,1.0,IN,413,Indiana
16,1.0,KS,5,Kansas
17,1.0,KY,10,Kentucky
18,1.0,LA,7,Louisiana
19,1.0,MA,245,Massachusetts
20,1.0,MD,143,Maryland
21,1.0,ME,14,Maine
22,1.0,MI,47,Michigan
23,1.0,MN,52,Minnesota
24,1.0,MO,12,Missouri
25,1.0,MS,4,Mississippi
26,1.0,MT,2,Montana
27,1.0,NC,86,North Carolina
28,1.0,ND,3,North Dakota
29,1.0,NE,9,Nebraska
30,1.0,NH,25,New Hampshire
31,1.0,NJ,4862,New Jersey
32,1.0,NM,13,New Mexico
33,1.0,NV,14,Nevada
34,1.0,NY,19585,New York
35,1.0,OH,56,Ohio
36,1.0,OK,57,Oklahoma
37,1.0,OR,24,Oregon
38,1.0,PA,508,Pennsylvania
39,1.0,RI,33,Rhode Island
40,1.0,SC,21,South Carolina
41,1.0,SD,4,South Dakota
42,1.0,TN,36,Tennessee
43,1.0,TX,157,Texas
44,1.0,UT,4,Utah
45,1.0,VA,166,Virginia
46,1.0,VT,10,Vermont
47,1.0,WA,8,Washington
48,1.0,WI,13,Wisconsin
49,1.0,WV,5,West Virginia
50,1.0,WY,2,Wyoming
58,5.0,AL,6,Alabama
59,5.0,AR,4,Arkansas
60,5.0,AZ,42,Arizona
61,5.0,CA,32,California
62,5.0,CO,1,Colorado
63,5.0,CT,183,Connecticut
64,5.0,DC,7,District of Columbia
65,5.0,DE,18,Delaware
66,5.0,FL,122,Florida
67,5.0,GA,28,Georgia
68,5.0,IA,3,Iowa
69,5.0,ID,4,Idaho
70,5.0,IL,35,Illinois
71,5.0,IN,64,Indiana
72,5.0,KS,1,Kansas
73,5.0,KY,6,Kentucky
74,5.0,LA,3,Louisiana
75,5.0,MA,395,Massachusetts
76,5.0,MD,75,Maryland
77,5.0,ME,6,Maine
78,5.0,MI,26,Michigan
79,5.0,MN,13,Minnesota
80,5.0,MO,4,Missouri
81,5.0,MS,4,Mississippi
82,5.0,MT,1,Montana
83,5.0,NC,45,North Carolina
84,5.0,ND,3,North Dakota
85,5.0,NE,1,Nebraska
86,5.0,NH,14,New Hampshire
87,5.0,NJ,1471,New Jersey
88,5.0,NM,8,New Mexico
89,5.0,NV,4,Nevada
90,5.0,NY,8362,New York
91,5.0,OH,28,Ohio
92,5.0,OK,16,Oklahoma
93,5.0,OR,5,Oregon
94,5.0,PA,325,Pennsylvania
95,5.0,RI,13,Rhode Island
96,5.0,SC,10,South Carolina
97,5.0,TN,32,Tennessee
98,5.0,TX,35,Texas
99,5.0,UT,1,Utah
100,5.0,VA,107,Virginia
101,5.0,VT,8,Vermont
102,5.0,WI,4,Wisconsin
103,5.0,WV,4,West Virginia
104,5.0,WY,1,Wyoming
105,6.0,AK,2,Alaska
106,6.0,AL,9,Alabama
107,6.0,AR,6,Arkansas
108,6.0,AZ,50,Arizona
109,6.0,CA,38,California
110,6.0,CO,10,Colorado
111,6.0,CT,305,Connecticut
112,6.0,DC,19,District of Columbia
113,6.0,DE,15,Delaware
114,6.0,FL,168,Florida
115,6.0,GA,36,Georgia
116,6.0,IA,6,Iowa
117,6.0,ID,6,Idaho
118,6.0,IL,44,Illinois
119,6.0,IN,178,Indiana
120,6.0,KY,7,Kentucky
121,6.0,LA,3,Louisiana
122,6.0,MA,166,Massachusetts
123,6.0,MD,77,Maryland
124,6.0,ME,17,Maine
125,6.0,MI,20,Michigan
126,6.0,MN,14,Minnesota
127,6.0,MO,4,Missouri
128,6.0,MS,4,Mississippi
129,6.0,MT,1,Montana
130,6.0,NC,41,North Carolina
131,6.0,NE,6,Nebraska
132,6.0,NH,12,New Hampshire
133,6.0,NJ,2480,New Jersey
134,6.0,NM,13,New Mexico
135,6.0,NV,8,Nevada
136,6.0,NY,8800,New York
137,6.0,OH,37,Ohio
138,6.0,OK,41,Oklahoma
139,6.0,OR,10,Oregon
140,6.0,PA,330,Pennsylvania
141,6.0,RI,29,Rhode Island
142,6.0,SC,17,South Carolina
143,6.0,SD,1,South Dakota
144,6.0,TN,28,Tennessee
145,6.0,TX,35,Texas
146,6.0,VA,121,Virginia
147,6.0,VT,14,Vermont
148,6.0,WA,6,Washington
149,6.0,WI,5,Wisconsin
150,6.0,WV,2,West Virginia
151,7.0,AL,4,Alabama
152,7.0,AR,3,Arkansas
153,7.0,AZ,33,Arizona
154,7.0,CA,30,California
155,7.0,CO,3,Colorado
156,7.0,CT,142,Connecticut
157,7.0,DC,10,District of Columbia
158,7.0,DE,16,Delaware
159,7.0,FL,100,Florida
160,7.0,GA,25,Georgia
161,7.0,IA,5,Iowa
162,7.0,ID,5,Idaho
163,7.0,IL,21,Illinois
164,7.0,IN,77,Indiana
165,7.0,KS,1,Kansas
166,7.0,KY,3,Kentucky
167,7.0,LA,8,Louisiana
168,7.0,MA,430,Massachusetts
169,7.0,MD,69,Maryland
170,7.0,ME,2,Maine
171,7.0,MI,16,Michigan
172,7.0,MN,10,Minnesota
173,7.0,MO,3,Missouri
174,7.0,MS,3,Mississippi
175,7.0,NC,48,North Carolina
176,7.0,ND,2,North Dakota
177,7.0,NE,1,Nebraska
178,7.0,NH,11,New Hampshire
179,7.0,NJ,1158,New Jersey
180,7.0,NM,7,New Mexico
181,7.0,NV,3,Nevada
182,7.0,NY,6629,New York
183,7.0,OH,24,Ohio
184,7.0,OK,22,Oklahoma
185,7.0,OR,3,Oregon
186,7.0,PA,247,Pennsylvania
187,7.0,PR,1,Puerto Rico
188,7.0,RI,17,Rhode Island
189,7.0,SC,18,South Carolina
190,7.0,TN,13,Tennessee
191,7.0,TX,30,Texas
192,7.0,UT,4,Utah
193,7.0,VA,76,Virginia
194,7.0,VT,5,Vermont
195,7.0,WA,5,Washington
196,7.0,WI,3,Wisconsin
197,7.0,WV,2,West Virginia
199,9.0,AK,2,Alaska
200,9.0,AL,12,Alabama
201,9.0,AR,7,Arkansas
202,9.0,AZ,86,Arizona
203,9.0,CA,53,California
204,9.0,CO,7,Colorado
205,9.0,CT,272,Connecticut
206,9.0,DC,12,District of Columbia
207,9.0,DE,22,Delaware
208,9.0,FL,187,Florida
209,9.0,GA,35,Georgia
210,9.0,IA,3,Iowa
211,9.0,ID,24,Idaho
212,9.0,IL,46,Illinois
213,9.0,IN,242,Indiana
214,9.0,KS,3,Kansas
215,9.0,KY,5,Kentucky
216,9.0,LA,8,Louisiana
217,9.0,MA,173,Massachusetts
218,9.0,MD,75,Maryland
219,9.0,ME,7,Maine
220,9.0,MI,17,Michigan
221,9.0,MN,17,Minnesota
222,9.0,MO,3,Missouri
223,9.0,MS,1,Mississippi
224,9.0,MT,1,Montana
225,9.0,NC,66,North Carolina
226,9.0,NE,1,Nebraska
227,9.0,NH,17,New Hampshire
228,9.0,NJ,2009,New Jersey
229,9.0,NM,6,New Mexico
230,9.0,NV,5,Nevada
231,9.0,NY,9368,New York
232,9.0,OH,44,Ohio
233,9.0,OK,67,Oklahoma
234,9.0,OR,6,Oregon
235,9.0,PA,363,Pennsylvania
236,9.0,PR,1,Puerto Rico
237,9.0,RI,18,Rhode Island
238,9.0,SC,19,South Carolina
239,9.0,SD,2,South Dakota
240,9.0,TN,21,Tennessee
241,9.0,TX,34,Texas
242,9.0,UT,1,Utah
243,9.0,VA,84,Virginia
244,9.0,VT,18,Vermont
245,9.0,WA,8,Washington
246,9.0,WI,6,Wisconsin
247,9.0,WV,4,West Virginia
248,10.0,AL,3,Alabama
249,10.0,AR,5,Arkansas
250,10.0,AZ,315,Arizona
251,10.0,CA,45,California
252,10.0,CO,5,Colorado
253,10.0,CT,229,Connecticut
254,10.0,DC,8,District of Columbia
255,10.0,DE,21,Delaware
256,10.0,FL,115,Florida
257,10.0,GA,19,Georgia
258,10.0,IA,5,Iowa
259,10.0,ID,9,Idaho
260,10.0,IL,103,Illinois
261,10.0,IN,332,Indiana
262,10.0,KS,3,Kansas
263,10.0,KY,3,Kentucky
264,10.0,LA,3,Louisiana
265,10.0,MA,114,Massachusetts
266,10.0,MD,77,Maryland
267,10.0,ME,65,Maine
268,10.0,MI,24,Michigan
269,10.0,MN,52,Minnesota
270,10.0,MO,1,Missouri
271,10.0,MS,6,Mississippi
272,10.0,NC,41,North Carolina
273,10.0,ND,1,North Dakota
274,10.0,NE,4,Nebraska
275,10.0,NH,17,New Hampshire
276,10.0,NJ,2741,New Jersey
277,10.0,NM,11,New Mexico
278,10.0,NV,2,Nevada
279,10.0,NY,9202,New York
280,10.0,OH,30,Ohio
281,10.0,OK,37,Oklahoma
282,10.0,OR,15,Oregon
283,10.0,PA,359,Pennsylvania
284,10.0,RI,12,Rhode Island
285,10.0,SC,22,South Carolina
286,10.0,SD,1,South Dakota
287,10.0,TN,36,Tennessee
288,10.0,TX,50,Texas
289,10.0,UT,2,Utah
290,10.0,VA,72,Virginia
291,10.0,VT,11,Vermont
292,10.0,WA,4,Washington
293,10.0,WI,5,Wisconsin
294,10.0,WV,2,West Virginia
305,13.0,AK,1,Alaska
306,13.0,AL,12,Alabama
307,13.0,AR,13,Arkansas
308,13.0,AZ,99,Arizona
309,13.0,CA,38,California
310,13.0,CO,8,Colorado
311,13.0,CT,372,Connecticut
312,13.0,DC,8,District of Columbia
313,13.0,DE,39,Delaware
314,13.0,FL,198,Florida
315,13.0,GA,47,Georgia
316,13.0,HI,1,Hawaii
317,13.0,IA,2,Iowa
318,13.0,ID,8,Idaho
319,13.0,IL,101,Illinois
320,13.0,IN,608,Indiana
321,13.0,KS,3,Kansas
322,13.0,KY,15,Kentucky
323,13.0,LA,9,Louisiana
324,13.0,MA,220,Massachusetts
325,13.0,MD,124,Maryland
