,PASSENGERS,Passenger Miles,Origin,Destination,Starting Point,Ending Point,geometry
1,2087353,1529761202,"New York, NY","Chicago, IL",POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837)
2,2076870,1522172342,"Chicago, IL","New York, NY",POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136)
3,1863155,627883235,"Los Angeles, CA","San Francisco, CA",POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342)
4,1845634,621978658,"San Francisco, CA","Los Angeles, CA",POINT (-122.4194155 37.7749295),POINT (-122.4194155 37.7749295),POINT (-122.4194155 37.7749295)
5,1698805,4204515375,"Los Angeles, CA","New York, NY",POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342)
6,1678680,4154701728,"New York, NY","Los Angeles, CA",POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837)
7,1600612,2793176782,"Los Angeles, CA","Chicago, IL",POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342)
8,1573814,5432802126,"London, United Kingdom","New York, NY",POINT (-0.1277583 51.5073509),POINT (-0.1277583 51.5073509),POINT (-0.1277583 51.5073509)
9,1562727,5394605727,"New York, NY","London, United Kingdom",POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837)
10,1558362,2719518378,"Chicago, IL","Los Angeles, CA",POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136)
11,1458130,875976075,"Atlanta, GA","Chicago, IL",POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954)
12,1444945,1579881673,"Miami, FL","New York, NY",POINT (-80.1917902 25.7616798),POINT (-80.1917902 25.7616798),POINT (-80.1917902 25.7616798)
13,1438421,1572730445,"New York, NY","Miami, FL",POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837)
14,1429589,858928374,"Chicago, IL","Atlanta, GA",POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136)
15,1401183,474746187,"Chicago, IL","Minneapolis, MN",POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136)
